CA_Street_types
ABBEY
ACRES
ALLEY
ALLÉE
APP
APT
AV
AVE
Abbey
Acres
Alley
Allée
Apartment
Appartement
Avenue
BAY
BEACH
BEND
BLVD
BOUL
BYPASS
BYWAY
Bay
Beach
Bend
Boulevard
Bureau
By-pass
Byway
C
CAMPUS
CAPE
CAR
CARREF
CDS
CH
CHASE
CIR
CIRCT
CLOSE
COMMON
CONC
COUR
COVE
CRES
CRNRS
CROIS
CROSS
CRT
CTR
Campus
Cape
Carrefour
Carré
Centre
Cercle
Chase
Chemin
Circle
Circuit
Close
Common
Concession
Corners
Cour
Court
Cove
Crescent
Croissant
Crossing
Cul-de-sac
CÔTE
Côte
DALE
DELL
DIVERS
DOWNS
DR
Dale
Dell
Diversion
Downs
Drive
END
ESPL
ESTATE
EXPY
EXTEN
End
Esplanade
Estates
Expressway
Extension
FARM
FIELD
FOREST
FRONT
FWY
Farm
Field
Forest
Freeway
Front
GATE
GDNS
GLADE
GLEN&
GREEN
GRNDS
GROVE
Gardens
Gate
Glade
Glen
Green
Grounds
Grove
HARBR
HEATH
HGHLDS
HILL
HOLLOW
HTS
HWY
Harbour
Heath
Heights
Highlands
Highway
Hill
Hollow
IMP
INLET
ISLAND
Impasse
Inlet
Island
KEY
KNOLL
Key
Knoll
LANDNG
LANE
LINE
LINK
LKOUT
LMTS
LOOP
Landing
Lane
Limits
Line
Link
Lookout
Loop
MALL
MANOR
MAZE
MEADOW
MEWS
MONTÉE
MOOR
MOUNT
MTN
Mall
Manor
Maze
Meadow
Mews
Montée
Moor
Mount
Mountain
ORCH
Orchard
PARADE
PARC
PASS
PATH
PINES
PK
PKY
PL
PLACE
PLAT
PLAZA
POINTE
PORT
PROM
PT
PTWAY
PVT
Parade
Parc
Park
Parkway
Passage
Path
Pathway
Pines
Place
Plateau
Plaza
Point
Pointe
Port
Private
Promenade
QUAI
QUAY
Quai
Quay
RAMP
RANG
RD
RDPT
RG
RIDGE
RISE
RLE
ROW
RTE
RUE
RUN
Ramp
Rang
Range
Ridge
Rise
Road
Rond-point
Route
Row
Rue
Ruelle
Run
SENT
SQ
ST
SUBDIV
SUITE
Sentier
Square
Street
Subdivision
Suite
TERR
THICK
TLINE
TOWERS
TRAIL
TRNABT
TSSE
Terrace
Terrasse
Thicket
Towers
Townline
Trail
Turnabout
UNIT
UNITÉ
Unit
Unité
VALE
VIA
VIEW
VILLAS
VILLGE
VISTA
VOIE
Vale
Via
View
Village
Villas
Vista
Voie
WALK
WAY
WHARF
WOOD
WYND
Walk
Way
Wharf
Wood
Wynd
ÉCH
Échangeur
ÎLE
Île
